Região Geográfica,UF,Regional de Saúde,Município,Código IBGE,Tipo da Instituição,Sigla da Instituição,Nome da Instituição,CNPJ da Instituição,Nome do escritório regional/local,CNPJ do escritório regional/local,Tipo da Forma de Abastecimento,Código Forma de abastecimento,Nome da Forma de Abastecimento,Nome da ETA / UTA,Ano de referência,Mês de referência,Data de registro ,Data de preenchimento do relatório mensal,Data da coleta,Tipo de captação,Categoria do manancial superficial,Nome do manancial superficial,Categoria do ponto de captação subterrânea,Nome do ponto de captação subterrânea,Parâmetro,Unidade,Resultado
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,5,2015/01/20 00:00:00.000,2014-05-31,2014-05-06,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,1203
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,1,2015/01/16 00:00:00.000,2014-01-31,2014-01-13,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,325
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,1,2015/01/16 00:00:00.000,2014-01-31,2014-01-20,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,20
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,7,2015/01/21 00:00:00.000,2014-07-31,2014-07-21,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,1046
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,8,2015/01/21 00:00:00.000,2014-08-31,2014-08-04,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,12030
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2014,9,2015/01/22 00:00:00.000,2014-09-30,2014-09-15,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,1986
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,6,2015/08/11 00:00:00.000,2015-06-30,2015-06-15,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,960
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,5,2015/08/11 00:00:00.000,2015-05-31,2015-05-04,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,1220
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,7,2015/11/18 00:00:00.000,2015-07-31,2015-07-20,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,2610
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,8,2015/12/15 00:00:00.000,2015-08-31,2015-08-24,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,2380
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2015,10,2015/12/15 00:00:00.000,2015-10-31,2015-10-21,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,3900
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2015,6,2015/08/13 00:00:00.000,2015-06-30,2015-06-22,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,390
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2015,5,2015/08/13 00:00:00.000,2015-05-31,2015-05-11,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,50
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2015,7,2015/11/18 00:00:00.000,2015-07-31,2015-07-06,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,240
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2015,9,2016/01/21 00:00:00.000,2015-09-30,2015-09-28,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,330
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2015,2,2015/05/12 00:00:00.000,2015-02-28,2015-02-09,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,70
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2015,4,2015/08/06 00:00:00.000,2015-08-06,2015-04-22,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,320
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2015,5,2015/08/06 00:00:00.000,2015-08-06,2015-05-04,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,730
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2015,3,2015/08/06 00:00:00.000,2015-08-06,2015-03-30,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,300
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2015,5,2015/08/11 00:00:00.000,2015-05-31,2015-05-04,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,170
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2015,3,2015/08/07 00:00:00.000,2015-03-31,2015-03-23,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,0
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2015,6,2015/08/11 00:00:00.000,2015-06-30,2015-06-15,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,100
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2016,3,2016/05/12 00:00:00.000,2016-05-12,2016-03-21,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,500
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2016,4,2016/05/27 00:00:00.000,2016-05-27,2016-04-11,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,1120
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2016,6,2016/07/11 00:00:00.000,2016-07-11,2016-06-06,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,480
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2016,6,2016/07/11 00:00:00.000,2016-07-11,2016-06-13,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,220
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2016,3,2016/05/12 00:00:00.000,2016-05-12,2016-03-14,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,400
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2016,8,2016/09/15 00:00:00.000,2016-09-15,2016-08-01,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,230
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2016,10,2016/11/28 00:00:00.000,2016-11-28,2016-10-24,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,120
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2016,12,2017/02/07 00:00:00.000,2017-02-07,2016-12-05,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,292
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2016,11,2016/12/20 00:00:00.000,2016-12-20,2016-11-07,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,1664
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2016,4,2016/05/27 00:00:00.000,2016-05-27,2016-04-18,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,170
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2016,11,2016/12/20 00:00:00.000,2016-12-20,2016-11-21,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,10
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2016,1,2016/05/02 00:00:00.000,2016-05-02,2016-01-25,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,430
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2016,4,2016/05/27 00:00:00.000,2016-05-27,2016-04-18,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,1470
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2016,6,2016/07/11 00:00:00.000,2016-07-11,2016-06-13,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,960
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2016,9,2016/10/24 00:00:00.000,2016-10-24,2016-09-19,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,813
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2016,5,2016/06/16 00:00:00.000,2016-06-16,2016-05-23,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,230
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2016,8,2016/09/15 00:00:00.000,2016-09-15,2016-08-01,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,120
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2016,8,2016/09/15 00:00:00.000,2016-09-15,2016-08-08,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,250
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2017,1,2017/03/08 00:00:00.000,2017-03-08,2017-01-09,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,504
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2017,7,2017/08/09 00:00:00.000,2017-08-09,2017-07-10,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,41
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000003,JOSE LOUREIRO DA SILVA,JOSÉ LOUREIRO DA SILVA,2017,5,2017/06/12 00:00:00.000,2017-06-12,2017-05-08,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,512
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2017,8,2017/09/25 00:00:00.000,2017-09-25,2017-08-01,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,"1455,0"
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2017,8,2017/09/25 00:00:00.000,2017-09-25,2017-08-14,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,"4106,0"
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2017,10,2017/11/20 00:00:00.000,2017-11-20,2017-10-02,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,6131
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000005,SAO JOAO,SÃO JOÃO,2017,5,2017/06/12 00:00:00.000,2017-06-12,2017-05-15,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,363
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2017,1,2017/03/08 00:00:00.000,2017-03-08,2017-01-10,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,108
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2017,1,2017/03/08 00:00:00.000,2017-03-08,2017-01-23,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,10
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2017,10,2017/12/01 00:00:00.000,2017-12-01,2017-10-02,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,"2359,0"
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2017,10,2017/12/01 00:00:00.000,2017-12-01,2017-10-09,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,"10,0"
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2017,11,2017/12/13 00:00:00.000,2017-12-13,2017-11-13,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,86
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000001,BELEM NOVO,BELÉM NOVO,2017,12,2018/01/22 00:00:00.000,2018-01-22,2017-12-11,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,74
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2017,5,2017/06/12 00:00:00.000,2017-06-12,2017-05-08,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,241
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000006,TRISTEZA,TRISTEZA,2017,9,2017/10/20 00:00:00.000,2017-10-20,2017-09-11,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,63
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2017,2,2017/03/08 00:00:00.000,2017-03-08,2017-02-20,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,882
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2017,7,2017/08/09 00:00:00.000,2017-08-09,2017-07-18,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,754
SUL,RS,1ª CRS,PORTO ALEGRE,431490,Serviço Municipal e outros,,DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS DMAE,92924901000198.0,,,SAA,S431490000004,MOINHOS DE VENTO,MOINHOS DE VENTO,2017,10,2017/12/01 00:00:00.000,2017-12-01,2017-10-23,SUPERFICIAL,lago,GUAIBA,,,Escherichia coli,E.coli/100mL,"496,0"
